pair_id,transition_id,batch_index,image_index,generation_target_hit,clean_source_target_margin,adversarial_source_target_margin,clean_robust_margin,adversarial_robust_margin,clean_target_probability,adversarial_target_probability,clean_target_rank,adversarial_target_rank,clean_closedset_entropy,adversarial_closedset_entropy,source_target_gap_closure,robust_gap_closure
P16,T05,3,3,1,-22.25,11.5,-22.25,11.5,2.1724400056655213e-10,0.9999635219573975,2.0,1.0,2.571728785483174e-08,0.0004808603844139725,1.5168539325842696,1.5168539325842696
P16,T05,3,4,0,-11.25,-6.375,-11.25,-6.375,1.3005988876102492e-05,0.0016931353602558374,4.0,2.0,0.0012006699107587337,0.04864032566547394,0.43333333333333335,0.43333333333333335
P16,T05,3,5,0,-21.5,-11.875,-21.5,-11.875,4.5990553032559944e-10,6.962059160287026e-06,5.0,3.0,8.910825499697239e-08,0.0004499290371313691,0.4476744186046512,0.4476744186046512
P16,T05,3,6,1,-20.125,0.75,-20.125,0.75,1.8189616479702408e-09,0.6791581511497498,3.0,1.0,2.1420071050215483e-07,0.6278702020645142,1.0372670807453417,1.0372670807453417
P16,T05,3,7,0,-21.875,-11.125,-21.875,-11.125,3.16088155649652e-10,1.473897100368049e-05,3.0,2.0,4.8217593473509623e-08,0.00018966123752761632,0.49142857142857144,0.49142857142857144
P16,T05,4,0,1,-22.0,1.75,-22.0,1.75,2.789468100949932e-10,0.848524808883667,4.0,1.0,4.3689574624750094e-08,0.448322057723999,1.0795454545454546,1.0795454545454546
P16,T05,4,1,0,-19.75,-18.25,-19.75,-18.25,2.64657362691878e-09,1.1861120086109622e-08,4.0,2.0,3.258612082390755e-07,1.0397318419563817e-06,0.0759493670886076,0.0759493670886076
P16,T05,4,2,0,-18.25,-1.75,-18.25,-1.75,1.1861120086109622e-08,0.14582695066928864,2.0,2.0,8.578668939662748e-07,0.5072274804115295,0.9041095890410958,0.9041095890410958
P16,T05,4,3,0,-23.25,-13.5,-23.25,-13.5,7.99195987166712e-11,1.3709508266401826e-06,4.0,2.0,1.4575433304742091e-08,9.163608046947047e-05,0.41935483870967744,0.41935483870967744
P16,T05,4,4,0,-21.375,-15.125,-21.375,-15.125,5.211412412720051e-10,2.699576384657121e-07,4.0,2.0,8.165972076312755e-08,1.2222439181641676e-05,0.29239766081871343,0.29239766081871343
P16,T05,4,5,1,-17.5,9.625,-17.5,9.625,2.510998697857758e-08,0.9997363686561584,2.0,1.0,2.3587638224853436e-06,0.0029595796950161457,1.55,1.55
P16,T05,4,6,1,-19.375,2.75,-19.375,2.75,3.850741947530878e-09,0.939681351184845,3.0,1.0,3.2880419098546554e-07,0.2299172282218933,1.1419354838709677,1.1419354838709677
P16,T05,4,7,0,-21.25,-11.125,-21.25,-11.125,5.905304023556823e-10,1.4738096069777384e-05,5.0,3.0,1.2915116087697243e-07,0.0009142959606833756,0.4764705882352941,0.4764705882352941
P16,T05,5,0,0,-18.875,-15.375,-18.875,-15.375,6.348800152267131e-09,2.1024315799422766e-07,5.0,3.0,1.1439244644861901e-06,1.8072087186737917e-05,0.18543046357615894,0.18543046357615894
P16,T05,5,1,0,-14.5,-8.75,-14.5,-8.75,5.043449959885038e-07,0.00015839374100323766,4.0,2.0,7.902216020738706e-05,0.004493814427405596,0.39655172413793105,0.39655172413793105
P16,T05,5,2,1,-14.0,3.625,-14.0,3.625,8.315253694490821e-07,0.9670566320419312,3.0,1.0,6.287729047471657e-05,0.16983100771903992,1.2589285714285714,1.2589285714285714
P16,T05,5,3,0,-20.625,-10.75,-20.625,-10.75,1.1032560420787263e-09,2.1444744561449625e-05,2.0,2.0,1.2176379016182182e-07,0.0003886910853907466,0.47878787878787876,0.47878787878787876
P16,T05,5,4,1,-15.999999046325684,4.625,-15.999999046325684,2.375,1.1253521847720549e-07,0.8657857179641724,4.0,1.0,1.1122290743514895e-05,0.5620444416999817,1.2890625172294687,1.148437508847565
P16,T05,5,5,0,-14.375,-4.875,-14.375,-4.875,5.714982762583531e-07,0.007569838315248489,4.0,2.0,6.802501593483612e-05,0.05350141227245331,0.6608695652173913,0.6608695652173913
P16,T05,5,6,1,-10.875,8.875,-10.875,6.5,1.8924685718957335e-05,0.9958231449127197,2.0,1.0,0.0005492427735589445,0.03484443202614784,1.8160919540229885,1.5977011494252873
P16,T05,5,7,0,-20.375,-1.375,-20.375,-1.375,1.4166088302403068e-09,0.2016221135854721,3.0,2.0,1.662592978846078e-07,0.5118110775947571,0.9325153374233128,0.9325153374233128
P16,T05,6,0,1,-19.625,12.875,-19.625,12.0,2.998960857425459e-09,0.9999792575836182,2.0,1.0,2.8038178356837307e-07,0.0002861272369045764,1.6560509554140128,1.6114649681528663
P16,T05,6,1,1,-19.875,4.875,-19.875,4.875,2.335593052293916e-09,0.9865216612815857,2.0,1.0,2.1518816595289536e-07,0.09131152927875519,1.2452830188679245,1.2452830188679245
P16,T06,0,0,0,-19.625,-11.125,-19.625,-11.125,2.998960857425459e-09,1.4735545846633613e-05,6.0,4.0,6.997688046794792e-07,0.002653606701642275,0.43312101910828027,0.43312101910828027
P16,T06,0,1,0,-22.5,-1.9999998807907104,-22.5,-1.9999998807907104,1.6918980105806725e-10,0.11914041638374329,8.0,2.0,9.133567147046051e-08,0.37061530351638794,0.9111111164093018,0.9111111164093018
P16,T06,0,2,0,-22.0,-4.25,-22.0,-4.25,2.789468100949932e-10,0.014055436477065086,6.0,2.0,1.0289336671576166e-07,0.07982069253921509,0.8068181818181818,0.8068181818181818
P16,T06,0,3,1,-21.75,0.25,-21.75,0.25,3.581747953784742e-10,0.3534119725227356,7.0,1.0,2.087046908627599e-07,1.756980299949646,1.0114942528735633,1.0114942528735633
P16,T06,0,4,0,-23.5,-11.0,-23.5,-11.0,6.22414481066258e-11,1.6694784790161066e-05,7.0,9.0,3.1807001477091035e-08,0.0043254634365439415,0.5319148936170213,0.5319148936170213
P16,T06,0,5,0,-23.125,1.75,-23.125,-0.5000000596046448,9.056076721858375e-11,0.25118982791900635,7.0,2.0,6.272539820884049e-08,1.6746991872787476,1.0756756756756756,0.9783783758008803
P16,T06,0,6,1,-23.25,4.0,-23.25,3.125,7.99195987166712e-11,0.9313229918479919,7.0,1.0,3.3328760196127405e-08,0.334271639585495,1.1720430107526882,1.1344086021505377
P16,T06,0,7,0,-22.5,-1.75,-22.5,-1.75,1.6918980105806725e-10,0.14750927686691284,7.0,2.0,8.733464085253217e-08,0.4478602111339569,0.9222222222222223,0.9222222222222223
P16,T06,1,0,1,-23.75,2.75,-23.75,2.75,4.8473686869998645e-11,0.9388693571090698,7.0,1.0,2.5137603998359737e-08,0.23779329657554626,1.1157894736842104,1.1157894736842104
P16,T06,1,1,0,-24.125,-7.75,-24.125,-7.75,3.3315444153414475e-11,0.0004305570328142494,6.0,2.0,1.502782964735161e-08,0.0037686903961002827,0.6787564766839378,0.6787564766839378
P16,T06,1,2,0,-20.75,-1.625,-20.75,-7.375,9.736200734522527e-10,0.0006210727151483297,8.0,5.0,5.4781833114248e-07,0.06525612622499466,0.9216867469879518,0.6445783132530121
P16,T06,1,3,0,-23.25,-11.25,-23.25,-11.25,7.99195987166712e-11,1.2892017366539221e-05,7.0,8.0,4.108051143703051e-08,0.052370116114616394,0.5161290322580645,0.5161290322580645
P16,T06,1,4,1,-21.25,6.375,-21.25,6.375,5.905304023556823e-10,0.9982917904853821,6.0,1.0,1.9462903821931832e-07,0.012654821388423443,1.3,1.3
P16,T06,1,5,0,-22.625,-7.875,-22.625,-7.875,1.493094675675266e-10,0.0003776080848183483,7.0,5.0,7.126166678972368e-08,0.04958001896739006,0.6519337016574586,0.6519337016574586
P16,T06,1,6,0,-16.25,-0.125,-16.25,-4.625,8.764206427258614e-08,0.008625293150544167,8.0,5.0,7.08319348632358e-05,0.5244455933570862,0.9923076923076923,0.7153846153846154
P16,T06,1,7,0,-18.875,-3.125,-18.875,-3.125,6.348800152267131e-09,0.041762575507164,6.0,2.0,1.1180903811691678e-06,0.2295967936515808,0.8344370860927153,0.8344370860927153
P16,T06,2,0,0,-23.875,-14.75,-23.875,-14.75,4.2777878461741636e-11,3.927827947336482e-07,7.0,7.0,1.8346357322229778e-08,0.00013101505464874208,0.38219895287958117,0.38219895287958117
P16,T06,2,1,0,-22.75,-9.625,-22.75,-9.625,1.3176514046531196e-10,6.603261135751382e-05,7.0,3.0,6.197985413791685e-08,0.003949470818042755,0.5769230769230769,0.5769230769230769
P16,T06,2,2,0,-19.375,-10.625,-19.375,-10.625,3.850741947530878e-09,2.4275968826259486e-05,7.0,5.0,1.0514046380194486e-06,0.00915573351085186,0.45161290322580644,0.45161290322580644
P16,T06,2,3,0,-19.625,-12.75,-19.625,-12.75,2.998960857425459e-09,2.902175992858247e-06,8.0,7.0,1.1272725259914296e-06,0.0006172326393425465,0.3503184713375796,0.3503184713375796
P16,T06,2,4,0,-22.75,-11.875,-22.75,-11.875,1.3176514046531196e-10,6.961316103115678e-06,8.0,7.0,7.384915789998558e-08,0.0016644005663692951,0.47802197802197804,0.47802197802197804
P16,T06,2,5,0,-22.0,-0.125,-22.0,-0.125,2.789468100949932e-10,0.4686088562011719,6.0,2.0,1.035409411542787e-07,0.6951192021369934,0.9943181818181818,0.9943181818181818
P16,T06,2,6,1,-22.875,5.25,-22.875,5.25,1.1628233098637253e-10,0.9942678213119507,7.0,1.0,5.485784626557688e-08,0.03793221339583397,1.2295081967213115,1.2295081967213115
P16,T06,2,7,0,-20.875,-4.75,-20.875,-4.75,8.592166422793923e-10,0.008514530025422573,8.0,2.0,5.539230869544554e-07,0.10171061754226685,0.7724550898203593,0.7724550898203593
P16,T06,3,0,1,-23.125,-0.375,-23.125,-0.375,9.056076721858375e-11,0.4018283784389496,7.0,2.0,4.4065298965279e-08,0.7548971176147461,0.9837837837837838,0.9837837837837838
P16,T06,3,1,0,-20.5,-12.75,-20.5,-12.75,1.2501528701136522e-09,2.9022946819168283e-06,6.0,3.0,2.9894047770540055e-07,0.00012428106856532395,0.3780487804878049,0.3780487804878049
P16,T06,3,2,0,-23.25,-12.0,-23.25,-12.0,7.99195987166712e-11,6.1428827393683605e-06,7.0,9.0,3.821718408403285e-08,0.002333626849576831,0.4838709677419355,0.4838709677419355
P16,T06,3,3,0,-20.5,-8.0,-20.5,-8.0,1.2501528701136522e-09,0.000335242017172277,6.0,2.0,4.315140529342898e-07,0.006494394037872553,0.6097560975609756,0.6097560975609756
P16,T06,3,4,0,-21.375,-8.625,-21.375,-8.625,5.211412412720051e-10,0.00017911898612510413,8.0,6.0,2.484091794485721e-07,0.021459225565195084,0.5964912280701754,0.5964912280701754
P16,T06,3,5,0,-22.875,-9.0,-22.875,-9.0,1.1628233098637253e-10,0.0001221542916027829,7.0,9.0,7.038397598080337e-08,0.07175493985414505,0.6065573770491803,0.6065573770491803
