scope,metric,outcome,cell_count,spearman,permutation_p
P19,source_class_cka,tasr_percent,10,0.012158110873601292,0.9809501904980951
P14,source_class_cka,tasr_percent,10,0.3939393939393939,0.26131738682613176
within_pair_stratified,source_class_cka,tasr_percent,30,0.20668788485122197,0.2906870931290687
P16,source_class_cka,asr_percent,10,0.22701095408174407,0.5339346606533935
P19,source_class_cka,asr_percent,10,-0.2127669402880226,0.5508144918550815
P14,source_class_cka,asr_percent,10,0.36474332620803873,0.29869701302986973
within_pair_stratified,source_class_cka,asr_percent,30,0.12601860288594818,0.5231547684523155
P16,source_class_cka,conditional_tasr_percent,10,0.21341860166168647,0.5526144738552614
P19,source_class_cka,conditional_tasr_percent,10,0.012158110873601292,0.9809501904980951
P14,source_class_cka,conditional_tasr_percent,10,0.41818181818181815,0.23161768382316178
within_pair_stratified,source_class_cka,conditional_tasr_percent,30,0.2147932921002895,0.2720572794272057
P16,source_class_cka,semantic_gap_gain,10,0.04242424242424243,0.9182308176918231
P19,source_class_cka,semantic_gap_gain,10,-0.06666666666666667,0.8663513364866351
P14,source_class_cka,semantic_gap_gain,10,-0.44242424242424244,0.20443795562044378
within_pair_stratified,source_class_cka,semantic_gap_gain,30,-0.15555555555555556,0.43280567194328057
P16,source_class_cka_normalized,tasr_percent,10,0.23171162466125958,0.5188348116518835
P19,source_class_cka_normalized,tasr_percent,10,-0.0668696098048071,0.8586914130858692
P14,source_class_cka_normalized,tasr_percent,10,0.40606060606060607,0.24560754392456075
within_pair_stratified,source_class_cka_normalized,tasr_percent,30,0.1904770703530869,0.3304766952330477
P16,source_class_cka_normalized,asr_percent,10,0.251552678847338,0.4871351286487135
P19,source_class_cka_normalized,asr_percent,10,-0.27963655009282967,0.4310856891431086
P14,source_class_cka_normalized,asr_percent,10,0.4133757697024439,0.23482765172348277
within_pair_stratified,source_class_cka_normalized,asr_percent,30,0.1280511609970119,0.5150848491515085
P16,source_class_cka_normalized,conditional_tasr_percent,10,0.23171162466125958,0.5188348116518835
P19,source_class_cka_normalized,conditional_tasr_percent,10,-0.0668696098048071,0.8586914130858692
P14,source_class_cka_normalized,conditional_tasr_percent,10,0.4303030303030303,0.21754782452175478
within_pair_stratified,source_class_cka_normalized,conditional_tasr_percent,30,0.19858247760215444,0.3106868931310687
P16,source_class_cka_normalized,semantic_gap_gain,10,0.10303030303030303,0.7826721732782672
P19,source_class_cka_normalized,semantic_gap_gain,10,0.05454545454545454,0.8920410795892041
P14,source_class_cka_normalized,semantic_gap_gain,10,-0.4666666666666667,0.17761822381776182
within_pair_stratified,source_class_cka_normalized,semantic_gap_gain,30,-0.10303030303030303,0.6051039489605103
P16,target_class_cka,tasr_percent,10,-0.0731720919982925,0.8451515484845151
P19,target_class_cka,tasr_percent,10,-0.05471149893120581,0.8847511524884751
P14,target_class_cka,tasr_percent,10,0.05454545454545454,0.8908010919890801
within_pair_stratified,target_class_cka,tasr_percent,30,-0.024316221747202584,0.9056109438905611
P16,target_class_cka,asr_percent,10,-0.05521888072258639,0.8904710952890471
P19,target_class_cka,asr_percent,10,-0.0790277206784084,0.8312416875831242
P14,target_class_cka,asr_percent,10,0.024316221747202584,0.9531804681953181
within_pair_stratified,target_class_cka,asr_percent,30,-0.03658604599914625,0.8576314236857632
P16,target_class_cka,conditional_tasr_percent,10,-0.0731720919982925,0.8451515484845151
P19,target_class_cka,conditional_tasr_percent,10,-0.05471149893120581,0.8847511524884751
P14,target_class_cka,conditional_tasr_percent,10,0.04242424242424243,0.918610813891861
